"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,268.125,1.27651770020019,82.2896760075669
270,268.75,1.25347303862425,87.1313582631195
270,269.375,1.22700630016733,92.601253000483
270,270,1.19636943386601,98.814908105616
270,270.625,1.16060091867659,105.910902439448
270,271.25,1.11845529520501,114.052270923657
270,271.875,1.06831138217104,123.423144210518
270,272.5,1.00806012267858,134.213677335178
270,273.125,0.934987869861758,146.579031401951
270,273.75,0.845710795014085,160.545724936497
270,274.375,0.73630688577308,175.824202699557
270,275,0.602953825174949,191.494654268387
270,275.625,0.443524277137411,205.642688518068
270,276.25,0.260263333269475,215.332514553119
270,276.875,0.062158875258912,217.571888890892
270,277.5,-0.136131876809957,211.169510458816
270,278.125,-0.319860225873198,197.721633577132
270,278.75,-0.479845746980787,180.455852176011
270,279.375,-0.613682142273125,162.342892785769
270,280,-0.723415991950635,145.209321347341
270,280.625,-0.812849220476453,129.849339022492
270,281.25,-0.885912142687972,116.435984868669
270,281.875,-0.946005609447335,104.8503615254
270,282.5,-0.995860142973346,94.868939621157
270,283.125,-1.03759863965779,86.2524010233983
270,283.75,-1.07285269047345,78.7815575054151
270,284.375,-1.10287516938187,72.2683159464237
270,285,-1.12863261374757,66.5560427218855
270,285.625,-1.15087622730614,61.5160397007838
270,286.25,-1.17019495714731,57.0430576258165
270,286.875,-1.18705476527839,53.0510136424327
270,287.5,-1.2018276496926,49.4693010003221
270,288.125,-1.21481316845132,46.2397534181888
270,288.75,-1.22625450373352,43.3142038585037
270,289.375,-1.2363505426322,40.6525420649259
270,290,-1.24526503743459,38.2211751060425
270,290.625,-1.25313360974333,35.9918074492928
270,291.25,-1.2600691500206,33.9404721026206
270,291.875,-1.26616601279557,32.0467583637294
270,292.5,-1.27150329991584,30.2931935298889
270,293.125,-1.27614744699226,28.6647454235571
270,293.75,-1.2801542725338,27.1484200457539
270,294.375,-1.28357060886962,25.7329344451342
270,295,-1.2864356043899,24.4084493369526
270,295.625,-1.28878176481204,23.1663494211632
270,296.25,-1.2906357849172,21.9990619728483
270,296.875,-1.2920192099631,20.8999062982952
270,297.5,-1.29294895666253,19.8629682100919
270,298.125,-1.2934377164304,18.8829948839248
270,298.75,-1.29349425796924,17.9553064011742
270,299.375,-1.29312364175767,17.0757210175977
270,300,-1.29232735530789,16.2404917768186
270,300.625,-1.29110337492077,15.4462525440244
270,301.25,-1.28944615689216,14.6899718976243
270,301.875,-1.28734655854868,13.9689136055739
270,302.5,-1.28479168696689,13.2806026447041
270,303.125,-1.28176467061745,12.6227959080918
270,303.75,-1.27824434633067,11.9934568968856
270,304.375,-1.27420485074056,11.3907338165617
270,305,-1.26961510154503,10.8129405992353
270,305.625,-1.2644381492876,10.2585404581132
270,306.25,-1.25863037463234,9.72613165124613
270,306.875,-1.2521404988925,9.21443519259271
270,307.5,-1.24490836639682,8.72228430175678
270,308.125,-1.23686344549293,8.24861543204486
270,308.75,-1.22792297974815,7.7924607620649
270,309.375,-1.21798970110158,7.35294208138439
270,310,-1.20694899089127,6.92926604851299
270,310.625,-1.19466534095476,6.52072085296355
270,311.25,-1.18097792303207,6.12667437655341
270,311.875,-1.16569501769348,5.74657402797107
270,312.5,-1.14858698097333,5.37994852640908
270,313.125,-1.12937733538251,5.02641204488951
270,313.75,-1.10773146205166,4.68567130537159
270,314.375,-1.08324224939849,4.35753646344726
270,315,-1.05541194449377,4.04193695144624
270,315.625,-1.02362941690413,3.73894388556383
270,316.25,-0.987142221052327,3.4488011921628
270,316.875,-0.945023534152662,3.1719682296269
270,317.5,-0.896135871609051,2.90917720260018
270,318.125,-0.839097633204894,2.66150859481768
270,318.75,-0.772267097421232,2.43048599727517
270,319.375,-0.69377444946383,2.21818553751193
270,320,-0.601657988312157,2.02733997640005
270,320.625,-0.494190087440189,1.86138722074802
270,321.25,-0.370480643313637,1.72436605706218
270,321.875,-0.23134441244468,1.62052129510005
270,322.5,-0.0801332349129546,1.55352058698559
270,323.125,0.0771164404748005,1.52540244159872
270,323.75,0.23278197426096,1.53571041357285
270,324.375,0.379681617633909,1.58136269778099
270,325,0.512830721886427,1.65738109355909
270,325.625,0.629999033541044,1.75802892144495
270,326.25,0.731189811377812,1.8777829099039
270,326.875,0.817731586906544,2.01187424254158
