"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,230.625,1.51741999217205,21.9663978317237
270,231.25,1.5168894493285,22.207531809484
270,231.875,1.51633784442474,22.4538610533361
270,232.5,1.515764269889,22.7056020549988
270,233.125,1.51516776437335,22.9629833017306
270,233.75,1.51454730889103,23.226246119484
270,234.375,1.51390182261784,23.4956455879497
270,235,1.51323015832332,23.7714515347246
270,235.625,1.51253109739351,24.0539496166791
270,236.25,1.51180334440232,24.3434424975519
270,236.875,1.51104552118344,24.6402511318828
270,237.5,1.51025616034886,24.9447161666192
270,238.125,1.50943369819321,25.2571994731332
270,238.75,1.50857646691547,25.5780858239778
270,239.375,1.50768268608077,25.907784730533
270,240,1.50675045323485,26.2467324597772
270,240.625,1.50577773357214,26.5953942508107
270,241.25,1.50476234854512,26.9542667545059
270,241.875,1.50370196328686,27.3238807228242
270,242.5,1.50259407270114,27.7048039779932
270,243.125,1.50143598605339,28.0976446959643
270,243.75,1.50022480987203,28.5030550434694
270,244.375,1.4989574289412,28.921735213692
270,245,1.4976304851334,29.3544379122012
270,245.625,1.49624035379192,29.8019733525448
270,246.25,1.4947831173279,30.2652148299718
270,246.875,1.49325453564338,30.7451049524033
270,247.5,1.49165001292923,31.2426626203137
270,248.125,1.48996456031198,31.7589908619834
270,248.75,1.48819275373524,32.2952856481135
270,249.375,1.48632868635572,32.8528458306079
270,250,1.48436591460751,33.4330843751219
270,250.625,1.48229739693655,34.0375410866068
270,251.25,1.48011542402424,34.6678970626091
270,251.875,1.47781153909814,35.325991151821
270,252.5,1.47537644665865,36.0138387469772
270,253.125,1.47279990762344,36.7336533037136
270,253.75,1.47007061848957,37.4878710530267
270,254.375,1.46717607162036,38.2791794677864
270,255,1.46410239315368,39.1105501575
270,255.625,1.46083415427177,39.9852770054805
270,256.25,1.45735415062766,40.9070205355015
270,256.875,1.45364314353885,41.8798597095723
270,257.5,1.4496795550647,42.9083526258165
270,258.125,1.44543910719008,43.9976079199991
270,258.75,1.44089439292123,45.1533690947591
270,259.375,1.43601436399984,46.3821145314277
270,260,1.43076371593692,47.6911766122384
270,260.625,1.42510214586399,49.0888842373134
270,261.25,1.41898345188662,50.5847341153524
270,261.875,1.41235443364717,52.1895976103413
270,262.5,1.40515354188195,53.9159717309849
270,263.125,1.3973092088104,55.7782851736533
270,263.75,1.38873776969591,57.7932733239627
270,264.375,1.37934085671244,59.9804399723334
270,265,1.36900210626678,62.3626284221243
270,265.625,1.3575829657703,64.9667308932785
270,266.25,1.3449173092269,67.824572827925
270,266.875,1.3308044638785,70.9740178660304
270,267.5,1.31500009967164,74.4603493172221
270,268.125,1.29720422145983,78.3379930537639
270,268.75,1.27704520623171,82.672650107497
270,269.375,1.25405841355649,87.543893655444
270,270,1.22765733483059,93.0482293794214
270,270.625,1.19709452183826,99.3024653670211
270,271.25,1.16140871066322,106.446869384186
270,271.875,1.11935393482659,114.646757139732
270,272.5,1.06930695981671,124.089341050148
270,273.125,1.00915370451049,134.968882015899
270,273.75,0.936170034719292,147.445768903252
270,274.375,0.846952159297627,161.552413185156
270,275,0.737543312949468,177.003733413013
270,275.625,0.604068140474827,192.877264965349
270,276.25,0.444336416548514,207.238060969088
270,276.875,0.260556593401827,217.102123262459
270,277.5,0.0617636056753733,219.413695385841
270,278.125,-0.137241247346965,212.948012512482
270,278.75,-0.321551658482623,199.329848668981
270,279.375,-0.481912002257912,181.849478743227
270,280,-0.615929385774868,163.528044501847
270,280.625,-0.725701395738146,146.21509653272
270,281.25,-0.81507890930029,130.70897932516
270,281.875,-0.888025950927809,117.178938551499
270,282.5,-0.947962488568309,105.50045445754
270,283.125,-0.997627676199697,95.4449222798154
270,283.75,-1.03914630457446,86.7691233428801
270,284.375,-1.07414805693576,79.2511532256876
270,285,-1.10388299684423,72.701243336595
270,285.625,-1.12931817810865,66.9619605743999
270,286.25,-1.15121593095311,61.9044500809686
270,286.875,-1.17019802043741,57.4234551794184
270,287.5,-1.1867948920102,53.4320390582875
270,288.125,-1.20146660477027,49.8565804334737
270,288.75,-1.2145796868156,46.633444408229
270,289.375,-1.22636571849285,43.7088011470475
270,290,-1.23693182004361,41.0399764508104
270,290.625,-1.24633347327199,38.5945984610903
270,291.25,-1.25463664226136,36.3473169703599
270,291.875,-1.26193014776679,34.2768178785484
270,292.5,-1.26831168318069,32.364356761321
270,293.125,-1.27387398047067,30.5932756391236
270,293.75,-1.27869830010384,28.9488297848613
270,294.375,-1.28285312788484,27.4180395614792
270,295,-1.28639516869119,25.9895147516273
270,295.625,-1.28937098238361,24.653266158079
270,296.25,-1.29181857678248,23.4005234364946
270,296.875,-1.29376874695702,22.2235697109801
270,297.5,-1.29524613651226,21.1155965943701
